"racename","driver","startlap","interrupt"
"2015japan","sperez",19,NA
"2015japan","sperez",37,NA
"2015japan","dricciardo",1,NA
"2015japan","dricciardo",2,NA
"2015japan","dricciardo",25,NA
"2015japan","lhamilton",1,NA
"2015japan","lhamilton",17,NA
"2015japan","lhamilton",32,NA
"2015japan","rgrosjean",1,NA
"2015japan","rgrosjean",12,NA
"2015japan","rgrosjean",34,NA
"2015japan","kraikkonen",1,NA
"2015japan","kraikkonen",15,NA
"2015japan","kraikkonen",29,NA
"2015japan","vbottas",1,NA
"2015japan","vbottas",12,NA
"2015japan","vbottas",30,NA
"2015japan","jbutton",1,NA
"2015japan","jbutton",11,NA
"2015japan","jbutton",28,NA
"2015japan","arossi",1,NA
"2015japan","arossi",23,NA
"2015japan","arossi",34,NA
"2015japan","dkvyat",1,NA
"2015japan","dkvyat",9,NA
"2015japan","dkvyat",21,NA
"2015japan","dkvyat",35,NA
"2015japan","falonso",1,NA
"2015japan","falonso",10,NA
"2015japan","falonso",29,NA
"2015japan","mericsson",1,NA
"2015japan","mericsson",14,NA
"2015japan","mericsson",27,NA
"2015japan","lnasr",1,NA
"2015japan","lnasr",11,NA
"2015japan","lnasr",31,NA
"2015japan","fmassa",1,NA
"2015japan","fmassa",2,NA
"2015japan","fmassa",17,NA
"2015japan","fmassa",35,NA
"2015japan","mverstappen",1,NA
"2015japan","mverstappen",10,NA
"2015japan","mverstappen",31,NA
"2015japan","wstevens",1,NA
"2015japan","wstevens",22,NA
"2015japan","wstevens",33,NA
"2015japan","wstevens",43,NA
"2015japan","csainz",1,NA
"2015japan","csainz",15,NA
"2015japan","csainz",28,NA
"2015japan","nrosberg",1,NA
"2015japan","nrosberg",16,NA
"2015japan","nrosberg",30,NA
"2015russia","svettel",1,NA
"2015russia","svettel",31,NA
"2015russia","pmaldonado",1,NA
"2015russia","pmaldonado",31,NA
"2015russia","sperez",1,NA
"2015russia","sperez",13,NA
"2015russia","dricciardo",1,NA
"2015russia","dricciardo",13,NA
"2015russia","lhamilton",1,NA
"2015russia","lhamilton",33,NA
"2015russia","rgrosjean",1,NA
"2015russia","rgrosjean",2,NA
"2015russia","kraikkonen",1,NA
"2015russia","kraikkonen",32,NA
"2015russia","vbottas",1,NA
"2015russia","vbottas",27,NA
"2015russia","jbutton",1,NA
"2015russia","jbutton",13,NA
"2015russia","dkvyat",1,NA
"2015russia","dkvyat",34,NA
"2015russia","falonso",1,NA
"2015russia","falonso",14,NA
"2015russia","lnasr",1,NA
"2015russia","lnasr",35,NA
"2015russia","fmassa",1,NA
"2015russia","fmassa",31,NA
"2015russia","rmehri",1,NA
"2015russia","rmehri",14,NA
"2015russia","mverstappen",1,NA
"2015russia","mverstappen",2,NA
"2015russia","mverstappen",25,NA
"2015russia","wstevens",1,NA
"2015russia","wstevens",15,NA
"2015russia","wstevens",18,NA
"2015russia","csainz",1,NA
"2015russia","csainz",13,NA
"2015russia","nrosberg",1,NA
"2015usa","svettel",1,NA
